model,phase,task,class,stage,experiment,metric,value,n,source_path,source_md5,notes
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,n_cases_all,48,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,n_wrote_plus_all,20,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,n_wrote_minus_all,28,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,n_confirmed_all,48,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,n_late_all,22,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,frac_late_all,0.458333,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,median_peak_depth_all,0.081967,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,n_late_confirmed,22,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,frac_late_confirmed,0.458333,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,median_peak_depth_confirmed,0.081967,48,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,mean_final_lead_wrote_plus_all,30.51875,20,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expA_logit_lens,mean_final_lead_wrote_minus_all,18.101564,28,Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,
Gemma-3-27B,control,arith,n/a,root,expB_dla,n_cases_all,48,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,n_confirmed_all,48,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_embedding_dla_all,0.454815,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_embedding_dla_wrote_plus_all,0.839985,20,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_embedding_dla_wrote_minus_all,0.179693,28,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
Gemma-3-27B,control,arith,n/a,root,expB_dla,mean_mlp_dla_L58_all,2.943538,48,Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,
