path,md5,size,category,schema_kind,model,phase,task,class,stage,n_cases,n_metrics,note
.gitignore,85118c944fe737032379f30d46593120,199,repo_meta,,n/a,n/a,n/a,n/a,n/a,,0,
CHECKSUMS.sha256,,,repo_meta,,n/a,n/a,n/a,n/a,n/a,,0,release checksum file; updated after ledger generation
Gemma/arith_control/expA_logit_lens.json,17e69aec4be467da0f08a93b9f673390,81773,results,lens_standard,Gemma-3-27B,control,arith,n/a,root,48,12,
Gemma/arith_control/expB_dla.json,9a7fe549dd9a5fb0e66c4a7e701bb8d1,508325,results,dla_standard,Gemma-3-27B,control,arith,n/a,root,48,181,
Gemma/discovery_DET_correct_deepsign/det_4x4_correct_deepsign_targets.json,55077cc7b300ba0ac43b0cae96cae51c,2352,config_targets,,Gemma-3-27B,discovery,det,correct,root,,0,
Gemma/discovery_DET_correct_deepsign/det_4x4_correct_deepsign_targets_autopick_backup.json,d2b05f1114682be8635532d0be0a3939,2259,config_targets,,Gemma-3-27B,discovery,det,correct,root,,0,
Gemma/discovery_DET_correct_deepsign/s01_logit_lens/det_4x4_correct_deepsign_expA_logit_lens.json,e240b62075214a72c9bbc920fa6e3c01,85366,results,lens_standard,Gemma-3-27B,discovery,det,correct,s01_logit_lens,50,12,
Gemma/discovery_DET_correct_deepsign/s02_dla/det_4x4_correct_deepsign_expB_dla.json,fdfb801792e69da88d3cda1b2748a107,526277,results,dla_standard,Gemma-3-27B,discovery,det,correct,s02_dla,50,181,
Gemma/discovery_DET_correct_deepsign/s02_dla/det_4x4_correct_deepsign_exp_matched_dla.json,8725404c0a6f99a74aa991432717fba3,163744,results,dla_standard,Gemma-3-27B,discovery,det,correct,s02_dla,50,181,
Gemma/discovery_DET_correct_deepsign/s04_projections/det_4x4_correct_deepsign_projections.json,2611223dd4131455d6b74daa17cac62e,16898,results,projections_meta,Gemma-3-27B,discovery,det,correct,s04_projections,2,2,
Gemma/discovery_DET_correct_deepsign/s05_ablations/det_4x4_correct_deepsign_expD_prime_mlp_mean_ablation.json,5b1d1c36b0b2bd6c950fefdb6cfd8275,294131,results,s05_ablations,Gemma-3-27B,discovery,det,correct,s05_ablations,50,11,
Gemma/discovery_DET_correct_deepsign/s05_ablations/det_4x4_correct_deepsign_expE_prime_joint_mean_ablation.json,89fa3839b562bc31540ab573d76a5f6d,42735,results,s05_joint,Gemma-3-27B,discovery,det,correct,s05_ablations,51,3,
Gemma/discovery_DET_correct_deepsign/s06_direction_subtraction/det_4x4_correct_deepsign_expG_prime_bias_subtraction.json,e1cbb2e8d164f846919d60af6e6dc23e,95140,results,s06_edits,Gemma-3-27B,discovery,det,correct,s06_direction_subtraction,45,39,
Gemma/discovery_DET_correct_deepsign/s08_c2_steering/det_4x4_correct_deepsign_c2_on_correct.json,a1e19619f672f46e85a64391b893fc6d,48451,results,meta_results,Gemma-3-27B,discovery,det,correct,s08_c2_steering,2,23,
